loss,accuracy
4.130200103371443,0
3.8513972895928337,20
3.710029876630626,40
3.817818147042988,60
3.7515339432479777,80
3.6846480967978685,100
3.643001789483942,120
3.6262915697179463,140
3.5851796710439072,160
3.5206843115470856,180
3.4508784590454415,200
3.2685501042418097,220
3.073596186299819,240
3.068475166724665,260
2.8013381250233715,280
2.3569051437553346,300
2.246286529333168,320
2.074607045447056,340
2.0151538439871532,360
1.8673539860909865,380
1.7471437439901891,400
1.7057559350133922,420
1.7045378729566634,440
1.594614074986129,460
1.4765157581720498,480
1.4431788469050484,500
1.480153674030169,520
1.3228518468767585,540
1.3611579993684426,560
1.2033246290196113,580
1.1851786308790784,600
1.2074592868368068,620
1.1223110316950513,640
1.2201720765303594,660
1.1012944795147803,680
1.0369040133806775,700
1.021151166227691,720
1.0016052966182134,740
0.9434069919006083,760
1.06750728181813,780
0.91409396577863,800
0.9340692790464079,820
0.8753864484620753,840
0.8578630542476862,860
0.8943825563681641,880
0.9551362540393954,900
0.8492640662694484,920
0.866862237237731,940
0.8834309780961227,960
0.7957014664712045,980
0.8273208118542573,1000
0.8351744866492912,1020
0.9095264390485955,1040
0.744881516168085,1060
0.768930078216503,1080
0.764667352039291,1100
0.7522794716738788,1120
0.7525833475260021,1140
0.694843359775957,1160
0.7288361176463073,1180
0.7593936373500677,1200
0.6858885290113453,1220
0.6872245333739606,1240
0.6881133640084899,1260
0.7144768436537999,1280
0.7354547639558295,1300
0.6809376284929815,1320
0.6589002792996833,1340
0.6485025711541039,1360
0.6654293767964542,1380
0.6843014428562745,1400
0.669170554190533,1420
0.6562532347304919,1440
0.6137239564192387,1460
0.6771794329496562,1480
0.6105095342341156,1500
0.6548114319559322,1520
0.613507802592131,1540
0.6063782682179679,1560
0.6583430002800195,1580
0.6262153603917865,1600
0.6138608280754079,1620
0.5807255051097375,1640
0.6118740198243399,1660
0.6132261687872812,1680
0.5746911307048324,1700
0.6122745408382031,1720
0.6038814489475688,1740
0.569106582866071,1760
0.5805612004893441,1780
0.5920148535972487,1800
0.562705521024644,1820
0.5797214218036216,1840
0.5561588956736457,1860
0.5608454319174633,1880
0.5407522834380752,1900
0.5546771350346046,1920
0.6080010437823493,1940
0.581696314837724,1960
0.531553870683623,1980
0.5618793031002121,2000
